"numero","dataAttivazione","tipo","minutiResidui","creditoResiduo"
"3603396360","2018-07-27","consumo","732",
"3603462475","2015-10-25","ricarica",,"46."
"3603540838","2022-03-20","consumo","422",
"3604115262","2015-11-04","ricarica",,"34."
"3604195180","2017-01-04","ricarica",,"80."
"3604722698","2018-05-09","consumo","738",
"3604990453","2015-09-12","ricarica",,"46."
"3605188442","2022-12-25","ricarica",,"79."
"3605271774","2018-01-30","ricarica",,"35."
"3606046618","2017-09-21","ricarica",,"68."
"3606981693","2017-11-09","ricarica",,"71."
"3606996112","2018-11-08","ricarica",,"31."
"3607775478","2016-03-21","ricarica",,"64."
"3607991366","2016-06-25","ricarica",,"2.1"
"3608122362","2022-12-03","ricarica",,"6.8"
"3608771694","2020-03-14","ricarica",,"86."
"3608891637","2018-11-17","consumo","162",
"3609001094","2022-04-21","ricarica",,"76."
"3609051518","2022-08-10","consumo","300",
"3609325250","2015-03-31","ricarica",,"58."
"3609391725","2015-11-15","ricarica",,"35."
"3609401399","2015-03-26","consumo","600",
"3609910229","2015-07-23","ricarica",,"27."
"3660313650","2016-11-16","consumo","608",
"3660542357","2017-02-25","ricarica",,"100"
"3661269448","2019-10-01","consumo","636",
"3661830469","2021-10-05","ricarica",,"87."
"3661850671","2019-11-11","consumo","660",
"3661888880","2019-05-19","consumo","54",
"3662410564","2020-11-15","ricarica",,"26."
"3662809885","2022-07-07","ricarica",,"41."
"3663355543","2021-12-07","consumo","584",
"3663494937","2019-02-17","consumo","801",
"3663942373","2017-08-19","ricarica",,"87."
"3664885102","2020-07-09","ricarica",,"82."
"3665341928","2017-09-29","ricarica",,"46."
"3665690927","2019-02-28","consumo","464",
"3666220863","2018-08-11","ricarica",,"41."
"3667059640","2015-11-04","consumo","382",
"3667831745","2019-08-16","consumo","169",
"3668693806","2020-11-10","consumo","998",
"3669321334","2020-12-25","ricarica",,"76."
"3669440640","2021-05-07","ricarica",,"91."
"3701847230","2018-05-18","consumo","687",
"3701889241","2018-06-23","ricarica",,"51."
"3702994680","2018-05-29","consumo","225",
"3705405153","2022-05-15","ricarica",,"87"
"3706270289","2018-09-21","ricarica",,"87."
"3706984902","2022-03-07","consumo","459",
"3707054668","2021-02-14","ricarica",,"49."
"3707066253","2017-02-05","consumo","296",
"3707749649","2021-12-18","ricarica",,"61."
"3708071545","2016-04-19","consumo","895",
"3708164535","2016-11-19","ricarica",,"51."
"3708424508","2021-03-23","ricarica",,"12."
"3708876767","2020-06-24","ricarica",,"8.7"
"3709308488","2020-04-17","ricarica",,"36."
"3709379237","2022-02-25","consumo","480",
"3709904137","2021-10-20","consumo","898",
"3800494519","2020-09-09","ricarica",,"15."
"3800810620","2022-07-08","ricarica",,"20."
"3801493316","2017-06-02","consumo","854",
"3801593998","2016-12-15","consumo","373",
"3801853747","2017-12-21","ricarica",,"9.5"
"3802053364","2019-01-12","ricarica",,"68."
"3802312038","2020-02-11","consumo","71",
"3802328588","2018-01-21","ricarica",,"26."
"3802386922","2016-12-18","ricarica",,"61."
"3803259532","2020-08-02","consumo","520",
"3803745458","2021-06-25","ricarica",,"56."
"3803894484","2019-08-19","ricarica",,"85."
"3804170805","2017-07-07","ricarica",,"78."
"3804679970","2016-12-06","consumo","422",
"3804715437","2021-08-29","ricarica",,"46."
"3804743671","2017-08-29","consumo","595",
"3805086376","2018-12-06","ricarica",,"42."
"3805667010","2019-07-08","consumo","829",
"3805676618","2016-06-28","consumo","131",
"3805712082","2019-07-25","consumo","498",
"3805840449","2021-07-03","consumo","896",
"3805876036","2019-05-15","ricarica",,"85."
"3806033419","2016-02-21","ricarica",,"36."
"3806711684","2022-10-16","consumo","475",
"3806766506","2022-07-20","ricarica",,"53."
"3807014508","2021-06-19","ricarica",,"97."
"3807243426","2019-03-25","ricarica",,"45."
"3807808562","2020-02-16","ricarica",,"69."
"3807974034","2022-12-05","consumo","729",
"3807976438","2016-04-11","consumo","450",
"3808222394","2017-03-06","ricarica",,"18."
"3808663266","2017-06-22","consumo","91",
"3809078447","2017-09-30","consumo","314",
"3809125177","2022-08-17","consumo","141",
"3809957773","2020-09-24","consumo","822",
"3890312073","2018-11-01","consumo","329",
"3890348247","2022-10-31","consumo","134",
"3890534578","2019-06-14","ricarica",,"68."
"3890728679","2015-08-25","consumo","698",
"3891027677","2017-04-15","consumo","631",
"3891159212","2018-01-31","consumo","400",
"3891179808","2021-06-13","ricarica",,"72."
"3891349361","2021-02-08","ricarica",,"64."
"3891473210","2018-04-03","consumo","894",
"3891596966","2018-03-31","ricarica",,"40."
"3891870262","2015-11-03","consumo","810",
"3891983863","2020-09-23","consumo","719",
"3892099934","2020-08-05","consumo","913",
"3892233206","2015-11-17","consumo","216",
"3892628498","2020-06-03","consumo","456",
"3892965902","2020-06-01","consumo","125",
"3893037183","2020-04-20","consumo","707",
"3893598933","2018-04-19","consumo","191",
"3893622660","2021-11-20","ricarica",,"45."
"3894648877","2015-11-26","ricarica",,"89."
"3894687234","2017-06-10","ricarica",,"58."
"3894733848","2022-10-22","consumo","150",
"3895003691","2018-08-25","consumo","637",
"3895949299","2019-02-01","consumo","991",
"3896973577","2021-07-31","ricarica",,"48."
"3897351585","2015-09-06","consumo","292",
"3897358662","2022-08-16","consumo","97",
"3897889255","2018-03-04","consumo","428",
"3898361340","2020-01-17","consumo","366",
"3898480184","2022-03-10","consumo","124",
"3898544587","2020-03-23","ricarica",,"80."
"3898886101","2018-12-20","ricarica",,"59."
"3899402654","2016-09-28","ricarica",,"95."
"3899825071","2018-04-25","consumo","952",
"3899868727","2020-01-18","consumo","779",
"3910103930","2020-11-26","consumo","10",
"3910154303","2021-05-12","ricarica",,"9.0"
"3910166088","2015-01-01","ricarica",,"79."
"3910568566","2016-09-03","consumo","395",
"3910629620","2016-02-19","consumo","220",
"3911167190","2016-09-13","ricarica",,"81."
"3911775140","2022-12-21","ricarica",,"2.7"
"3911822782","2017-12-21","consumo","997",
"3912369292","2021-12-27","consumo","181",
"3912482513","2018-12-26","ricarica",,"74."
"3912779010","2017-11-14","ricarica",,"83."
"3912795687","2021-01-10","ricarica",,"76."
"3913158514","2021-06-09","ricarica",,"80."
"3914014890","2017-01-04","consumo","26",
"3914186256","2019-02-22","ricarica",,"44."
"3914395339","2017-10-23","ricarica",,"63."
"3914517123","2022-08-02","consumo","1000",
"3915001701","2016-10-09","consumo","477",
"3915037314","2019-02-22","ricarica",,"4.7"
"3915250074","2017-05-07","ricarica",,"57."
"3915355609","2017-06-25","ricarica",,"2.1"
"3915523149","2015-10-13","ricarica",,"32."
"3915655125","2019-08-14","consumo","305",
"3915705120","2017-12-27","consumo","83",
"3915901751","2020-12-29","consumo","233",
"3916212021","2019-09-01","consumo","831",
"3916365564","2020-01-21","ricarica",,"57."
"3917008860","2015-03-10","consumo","558",
"3917014363","2018-06-08","consumo","494",
"3917360260","2019-05-19","consumo","958",
"3917392603","2015-06-26","ricarica",,"57."
"3917406493","2015-01-30","consumo","203",
"3917584161","2019-10-30","ricarica",,"54."
"3917589178","2017-06-26","ricarica",,"72."
"3918207151","2020-08-28","ricarica",,"4.3"
"3918652785","2021-02-15","consumo","702",
"3918819148","2019-02-11","ricarica",,"76."
"3919080759","2018-07-15","consumo","929",
"3919082723","2015-11-12","consumo","226",
"3919356465","2016-04-11","ricarica",,"59."
"3919688680","2019-01-12","ricarica",,"11."
"3920876038","2019-01-21","consumo","650",
"3921219136","2016-05-06","ricarica",,"58."
"3921412478","2016-08-26","consumo","103",
"3922029702","2015-10-03","ricarica",,"77."
"3923132370","2019-01-18","consumo","488",
"3923644089","2016-12-18","consumo","579",
"3924498926","2022-05-01","consumo","384",
"3924546156","2020-02-24","ricarica",,"99."
"3924700766","2022-09-11","ricarica",,"49."
"3924789611","2022-05-05","ricarica",,"43."
"3926289023","2017-04-02","ricarica",,"25."
"3926589026","2022-02-17","ricarica",,"80."
"3926798079","2022-04-23","ricarica",,"32."
"3927083172","2020-03-18","consumo","982",
"3928629127","2021-11-23","ricarica",,"87."
"3929413435","2017-01-04","consumo","24",
"3930500978","2020-12-15","ricarica",,"6.1"
"3930657875","2021-05-05","consumo","407",
"3930699016","2016-07-09","consumo","196",
"3930913431","2019-11-13","ricarica",,"76."
"3931618495","2021-06-22","ricarica",,"70."
"3932400842","2022-02-25","consumo","115",
"3932807374","2022-10-08","ricarica",,"81."
"3932911467","2020-11-23","consumo","797",
"3932997376","2017-02-18","ricarica",,"10."
"3932997968","2022-03-05","consumo","940",
"3933339452","2022-12-19","ricarica",,"50."
"3935160481","2020-02-06","consumo","698",
"3935621850","2016-02-05","consumo","247",
"3936179327","2015-10-29","ricarica",,"29."
"3936652404","2015-11-20","consumo","956",
"3936863375","2016-09-27","consumo","203",
"3937014626","2017-03-27","ricarica",,"63."
"3937205061","2018-04-21","consumo","214",
"3937234601","2017-10-16","consumo","799",
"3937937416","2015-05-23","ricarica",,"12."
"3938117298","2015-01-05","consumo","544",
"3938263435","2022-04-02","ricarica",,"92."
"3938496965","2017-06-17","ricarica",,"51."
"3938568557","2018-01-14","consumo","267",
"3939002877","2016-11-08","ricarica",,"75."
"3939061203","2017-11-07","consumo","869",
"3939226801","2020-10-23","ricarica",,"30."
"3939861434","2016-05-14","ricarica",,"24."
"3939964235","2017-07-31","consumo","593",
"3939975711","2022-05-22","ricarica",,"0.7"
"3939980940","2017-01-08","consumo","729",
