codice,tipoSIM,associataA,dataAttivazione
366942975347279859,standard,3470460996,2013-01-13
114863936989172022,nano,3331111045,2021-06-27
153766529592776095,eSIM,3662058338,2022-08-01
197844853761036318,standard,3805799021,2019-09-04
703204721681602945,standard,3664635464,2024-12-23
255682955069714614,eSIM,3919721837,2024-10-14
588151308130768847,standard,3356126137,2022-03-06
861475934243122961,standard,3931383875,2018-06-23
667386284951959040,nano,3476579899,2015-06-28
129733212104565439,nano,3200889168,2019-03-26
123165382309232804,eSIM,3604421304,2015-03-31
363845174911470435,nano,3482092597,2020-06-05
746608089070700127,nano,3452493933,2018-11-27
123702043467790119,nano,3285366566,2022-05-12
315518929013027844,standard,3935184056,2017-06-28
850991012183644587,nano,3931126860,2015-06-05
764960470193645991,standard,3382180101,2016-08-01
659456279159279965,eSIM,3353059692,2020-01-29
169400886600414454,nano,3910902134,2019-08-09
552018811520554268,nano,3919712235,2013-08-24
228456995871029819,eSIM,3663634722,2013-06-04
554407321997277188,standard,3489382046,2022-06-13
614297080958947602,eSIM,3203672526,2021-02-22
542362123633215655,micro,3496900059,2017-07-19
854864469633880544,standard,3481945442,2014-09-06
820022574301726069,standard,3706393463,2014-12-07
748307321365184928,nano,3667611039,2016-04-16
666929281696514619,standard,3287510482,2017-11-06
250911237652880011,eSIM,3354603330,2014-11-07
556470384262444326,eSIM,3473389868,2017-11-14
451701133092755991,standard,3897383871,2021-09-04
259842306140823746,standard,3939471902,2013-11-29
528782415274954869,nano,3701272941,2014-05-05
715421553051410501,standard,3893245971,2013-03-02
867498171879170164,standard,3891111179,2019-05-02
191122082692613462,standard,3200400396,2021-05-22
425017099552746703,standard,3914365929,2018-01-12
183281743144908059,standard,3404915928,2024-12-30
147647611292810984,nano,3660188703,2024-04-03
668870443904936129,micro,3280612264,2022-09-08
879703053086574933,micro,3282627191,2023-03-18
730243934235306715,nano,3602027794,2016-05-09
185301387992274279,micro,3920822976,2018-12-26
583405446353328900,nano,3456175879,2014-07-25
575278854800122133,nano,3453050375,2014-07-26
578987254658774213,micro,3354364456,2022-05-19
196698746588734476,nano,3207567375,2024-11-10
872762358853205358,micro,3478919357,2022-03-09
503459960312417500,micro,3662420554,2015-08-06
797371079250188108,micro,3499549720,2024-01-23
868473490477363456,micro,3207082963,2022-01-28
654948101554808873,nano,3603034239,2016-11-27
429978342102899276,micro,3665627119,2014-03-02
752061717359616006,nano,3803655625,2023-05-23
559666264456430761,standard,3357977784,2022-03-10
884439298354179258,standard,3609395294,2017-11-16
805662517826915467,eSIM,3939176927,2022-11-12
736944783446673066,micro,3478579843,2016-11-09
509702452268386402,standard,3473793197,2015-01-16
176236016059413481,micro,3914370642,2013-12-12
380210099072324927,eSIM,3404562329,2017-01-26
408555958271774760,standard,3285081927,2016-12-21
284965640655762925,standard,3481051833,2014-01-22
603290646321029657,standard,3897456519,2024-07-29
598900998083193827,standard,3484398917,2015-10-23
721054618314789316,eSIM,3803453632,2013-07-05
609852345292686855,micro,3333295469,2013-10-29
373621690133710320,standard,3805714294,2016-12-05
465130994535020026,standard,3931337608,2021-01-13
657750896710922307,nano,3483380117,2020-10-07
347949141421148946,standard,3456356572,2015-02-23
247972518511028470,eSIM,3700004740,2019-09-02
167188438079481279,nano,3409582884,2013-06-18
229620900505069330,micro,3609673582,2017-07-11
147528650467867914,eSIM,3918138884,2024-01-07
311282362575864043,standard,3669780175,2014-01-20
521380189658457072,standard,3285128330,2013-12-14
582962250926909072,micro,3923184773,2023-09-01
489379603793988693,eSIM,3336055638,2016-06-26
807286226907035559,micro,3808913560,2015-06-23
843784252126506700,eSIM,3359672593,2014-04-14
244172196265685648,micro,3403362953,2015-11-25
439335123942122999,micro,3607839434,2020-06-16
425932332393888556,micro,3803127891,2017-12-06
664638277137953271,nano,3401691531,2021-04-11
734525228221171963,micro,3930073640,2024-08-28
571913988579419331,nano,3666096013,2019-07-28
837652377753310182,micro,3660897058,2018-02-15
197467288351962716,micro,3470856894,2022-08-27
529094471272672852,standard,3935050277,2014-09-28
863244566444705929,micro,3603310642,2016-01-25
374722922545546400,eSIM,3358305945,2017-06-20
284052226707751994,standard,3400126341,2021-03-24
406681950242376876,standard,3931591262,2013-04-17
529847346073177776,micro,3481934083,2021-12-13
739780966710755056,eSIM,3483068805,2014-12-20
343201672331404684,eSIM,3333127655,2019-07-11
685079314546073362,nano,3660434738,2022-03-17
213697047555860268,nano,3603263376,2019-12-07
814673070812056968,micro,3470468331,2019-12-07
625945743903271297,nano,3925764435,2017-05-17
552675499010492731,standard,3701695238,2013-12-01
704289650105926190,standard,3407831091,2015-08-01
713134044845217375,micro,3204001888,2019-07-24
174146956697474796,nano,3356175383,2014-09-30
223289926881565343,micro,3408612471,2021-05-10
558392075935895580,eSIM,3493604507,2020-07-28
358442668383280385,standard,3459557112,2020-05-16
797909404318472938,eSIM,3808831277,2017-08-24
437656779246946456,standard,3605719568,2018-05-17
275512727113202789,nano,3667372432,2021-09-20
136940120765662556,standard,3898159274,2016-04-19
591512586174084512,micro,3804215754,2020-03-27
834636842480903669,standard,3330091263,2022-07-30
728278597380393601,nano,3804523286,2023-07-16
649389861269410559,micro,3359528617,2023-05-31
546789781122688860,standard,3483092874,2020-11-02
469558134426757516,eSIM,3201983560,2014-07-25
560306516133700295,nano,3930103073,2024-10-23
350480849000843817,micro,3808148173,2016-07-04
510443041596690390,eSIM,3897536376,2021-08-23
410231875962961512,eSIM,3483245850,2024-06-27
686304382044714359,nano,3603851288,2024-01-03
307767864774771892,nano,3480446027,2021-01-28
660853360668493924,micro,3350133096,2022-03-13
235158601558015213,nano,3457845481,2013-07-21
139121363125104203,eSIM,3934715900,2024-06-04
706882739740262548,standard,3920282675,2016-04-01
257745345950373168,nano,3892878573,2024-06-28
657631997403603269,micro,3382965964,2024-12-14
707265774500628941,standard,3492853287,2023-08-22
114837475651929481,nano,3284190838,2022-05-17
898236131149351274,nano,3475964441,2018-10-29
546709878467239963,nano,3385907798,2017-02-13
189944542264458785,eSIM,3802679344,2014-09-06
374383313522443309,nano,3485348523,2017-02-07
164895862029761138,eSIM,3934446726,2020-07-26
411793867846117425,nano,3496917471,2024-01-17
581109052193795167,nano,3356731875,2023-07-20
329855335663205890,eSIM,3383205254,2019-06-04
842680337410567990,standard,3801749592,2015-11-18
268353893965264289,standard,3472092419,2022-08-30
182904382833910997,micro,3933275885,2019-04-01
879631513818486924,nano,3383582839,2021-01-05
525989542105566848,eSIM,3384104058,2024-10-17
644302623026995534,standard,3939319148,2014-10-25
116170199724393718,eSIM,3924578246,2019-07-14
813207951859195245,micro,3454658074,2023-10-24
732491337935856345,standard,3458797175,2016-12-25
417323731027962688,nano,3400773345,2023-07-13
555362679205368513,eSIM,3807033138,2021-10-16
849041452480001380,nano,3493802715,2015-12-15
514685505318581881,standard,3932085938,2016-07-31
663640277339043492,standard,3921088010,2017-04-17
825660946452192520,nano,3453903363,2019-05-01
146398389216853973,nano,3936205536,2019-01-11
838157247291279290,nano,3924583345,2016-12-17
864871657022746270,nano,3922948101,2020-02-03
314501513166482578,nano,3386107513,2022-09-09
458109652696736763,micro,3407545909,2021-12-14
106721676700621011,micro,3899717073,2015-09-26
270852004657408639,eSIM,3495679286,2020-02-07
603397950666354638,micro,3665238458,2023-09-19
587560092752258133,standard,3937362860,2019-01-09
336488825418073222,nano,3350774404,2018-04-13
298362637359349186,micro,3667592350,2021-04-06
594865151000107428,nano,3486293481,2014-12-23
356942603920408235,micro,3483949239,2013-02-10
793846834715938414,eSIM,3453970436,2023-06-03
524630094428650531,micro,3807110313,2019-10-03
740149216230996350,micro,3204841818,2019-12-17
607763037249294779,nano,3209622981,2017-07-12
407073386129493370,eSIM,3388944116,2015-12-22
548114208737463857,standard,3489898042,2022-07-13
173582197517927657,eSIM,3497604125,2015-10-17
815532234779851382,nano,3806724742,2021-05-09
299487294502182723,eSIM,3451056045,2022-11-24
134295169565951599,standard,3918448747,2020-08-25
835033565876576785,eSIM,3385660354,2015-08-23
828950402189344808,eSIM,3487241560,2014-03-26
619971022216059245,micro,3355907815,2016-03-06
393588326364965483,micro,3405056342,2015-07-13
593859383824620991,standard,3931211925,2020-03-24
433241386476003497,micro,3472377139,2019-10-06
256706646767585462,standard,3935948206,2020-01-17
620569812147697023,standard,3357847313,2017-08-09
592945911746398127,standard,3709369996,2015-02-16
459739760947879581,standard,3600559160,2015-01-22
607142094223030735,standard,3808650168,2019-03-30
701406435988478241,standard,3409108525,2021-03-19
527934546264220701,eSIM,3660690577,2019-08-28
704893030675394752,micro,3386007346,2014-09-10
320257084534242695,standard,3495712304,2024-06-17
741269173880038299,standard,3920429749,2022-04-19
236415497659095303,standard,3918784554,2022-04-13
523845209960752727,eSIM,3602129234,2024-12-26
767634538068945563,standard,3919871089,2014-03-04
207828020238626346,micro,3280133668,2022-09-03
140926192238165282,standard,3476902548,2020-12-10
194921812720754831,micro,3337823275,2015-08-31
313217630229247739,standard,3920361397,2014-11-04
727462421864392051,micro,3603046506,2014-02-25
179758104180625686,nano,3336326086,2016-02-01
344250981197042724,nano,3894752592,2014-02-03
372103516129013864,eSIM,3706960762,2015-04-19
125823654288830193,eSIM,3382352061,2022-09-12
468954131997473903,micro,3384952059,2021-05-25
863812570018309764,standard,3668783967,2017-01-02
105086325361037987,nano,3483811155,2020-04-01
151346947081449367,nano,3479213366,2016-07-22
741965647183081524,standard,3666345405,2014-12-25
653808627177291715,micro,3704273911,2021-05-08
498248252707318254,nano,3459612319,2013-08-15
365511214268037287,standard,3383964111,2020-06-25
289101858887133605,standard,3910532842,2016-03-06
544806647833176487,standard,3800138940,2018-08-30
746681204649811089,standard,3937268542,2016-12-31
778470651232630740,eSIM,3931345957,2017-04-22
158650278098225681,micro,3474015931,2018-01-31
807945173954529720,micro,3402900204,2020-12-09
454471705095863997,eSIM,3801367665,2017-05-07
394181000159497662,eSIM,3604417643,2013-10-10
322922643943189184,standard,3471782124,2018-09-06
673304596584087312,micro,3408960272,2021-03-28
829779233219794795,nano,3700030890,2013-09-02
638152168249992461,micro,3896915448,2014-12-20
163055695549594910,eSIM,3335803759,2020-04-27
126920169109191200,nano,3471174639,2013-05-28
735769055101785296,standard,3604538369,2019-12-28
662365151988981638,micro,3936701143,2013-02-17
689351923484307726,nano,3803263932,2014-11-26
422595640742014311,micro,3923975667,2020-12-21
830130806372113849,eSIM,3809545404,2024-04-15
297456141565011845,micro,3661008600,2022-10-16
832370153904444562,micro,3931202667,2014-10-22
307037622543482146,micro,3337668865,2021-06-24
665246577169537504,standard,3803108515,2017-01-20
680425180270370879,standard,3407259859,2024-04-14
463710182202043352,eSIM,3203123461,2015-03-27
867579318115169480,nano,3705420653,2014-05-20
828905461814147727,standard,3385453032,2022-04-21
503975530500015286,standard,3406258718,2024-05-23
354136758098195754,nano,3927144275,2013-06-29
270522615170206436,standard,3474412901,2020-05-13
297931403857179926,micro,3705494129,2019-02-12
405464773743773375,micro,3668323045,2018-03-12
754119328920992163,standard,3498572476,2017-12-20
779557149232548175,eSIM,3921602513,2019-11-12
204021743306507934,eSIM,3495887830,2023-08-02
550711850842412140,standard,3495342414,2014-02-25
595700603014427377,eSIM,3661372917,2016-06-19
493523740153419741,standard,3281352027,2021-03-17
561316431317456853,eSIM,3927947270,2013-09-12
758427105404778591,nano,3708153735,2014-12-10
688536309991148258,micro,3477783321,2023-08-11
448762810334410375,micro,3484503471,2019-09-27
100159879297761790,eSIM,3335094154,2020-09-04
889660720542864856,standard,3400468908,2022-07-03
279857641805048667,micro,3809759087,2016-11-07
827728848705902763,nano,3208645694,2015-01-24
862769884705709891,standard,3485671315,2023-02-14
234030970035974318,micro,3602651745,2017-05-28
439191477906697054,micro,3485352063,2016-06-20
203386033865862367,nano,3457467457,2024-09-18
171892831042470038,micro,3478502540,2020-11-17
732412698683060322,standard,3355739949,2017-07-02
629148131853743890,eSIM,3924932405,2024-03-07
623530097703372462,eSIM,3381509528,2018-08-02
247151151927137883,standard,3334475477,2022-01-22
665228000853092169,standard,3288692514,2021-08-22
508385375941200638,eSIM,3913863871,2016-09-01
306576180800109757,standard,3475947297,2016-07-30
124775147379410504,standard,3669417556,2013-10-18
551735273527650249,standard,3488712121,2021-04-15
461352800292063605,micro,3202057213,2014-03-23
175014688072938149,standard,3407849338,2020-09-26
646836076634068895,micro,3482620096,2014-02-04
847243161943667313,standard,3478899762,2014-05-29
527535413412051898,standard,3932734440,2024-09-26
611226924257539421,eSIM,3384176490,2021-08-23
661584503578729018,standard,3892307481,2021-12-19
617689247475810293,eSIM,3335223343,2024-09-21
232569559710918301,standard,3452340500,2017-07-03
474890293367423630,micro,3353024066,2024-03-21
634463018137389420,eSIM,3385918534,2016-04-12
680780999792469632,standard,3287592251,2013-11-26
686650995669946747,standard,3917558377,2013-03-30
742774729486212228,micro,3806081422,2021-03-17
432118452029754606,eSIM,3916418839,2020-12-25
247276163471637851,eSIM,3609150327,2018-07-21
221832332580730931,eSIM,3919033282,2014-01-20
780063102652447562,micro,3929928532,2013-07-24
502713375216279734,standard,3703687457,2013-03-12
255029877610979073,micro,3935690193,2015-06-23
562675933570037846,eSIM,3339006649,2020-05-20
417618669214465048,eSIM,3894141696,2019-02-25
722216881008430051,nano,3280084691,2023-07-23
305595575866104614,nano,3668744536,2015-03-20
318318761575459047,standard,3356408274,2013-06-06
744751611000152500,nano,3495381509,2018-11-15
509052211139768272,eSIM,3920243701,2017-12-17
475272755606393686,eSIM,3890995930,2022-12-25
534781954216467715,eSIM,3897580737,2021-12-10
332771697967831358,nano,3939055605,2013-11-28
877938345947991123,eSIM,3666433715,2019-05-31
739401484818689623,micro,3402048441,2024-01-19
423922099713889380,eSIM,3927698382,2016-03-08
122385827792945754,standard,3453360046,2024-11-28
167328003290272930,eSIM,3925710873,2014-09-27
214209759832594413,nano,3483839419,2018-03-05
205788425852725763,micro,3332128402,2013-09-17
289217342082202145,nano,3330195169,2020-03-26
152703219651286160,eSIM,3204819040,2019-12-22
203398679763401112,micro,3456760528,2020-10-20
629629715747045267,standard,3921510792,2019-09-05
126133021406836480,eSIM,3459814192,2024-07-18
867836168059026290,eSIM,3450428795,2017-01-03
365806612649679626,micro,3406031441,2024-01-13
715452746158807620,nano,3932840897,2019-05-24
350130562864498320,micro,3353889987,2018-05-15
253255294397239346,micro,3400588476,2017-01-01
315739992340647459,nano,3203803814,2021-08-26
754615510109409768,micro,3356624752,2015-12-18
341158934338863153,micro,3922845228,2019-07-01
422377013731125352,nano,3387828562,2014-05-30
774357780363676024,micro,3664324636,2020-10-17
465963611592581991,nano,3702058534,2021-04-02
638033533376321866,micro,3486947532,2013-06-12
237025804856419340,standard,3661197508,2016-09-09
399420787780602735,eSIM,3288671293,2020-09-27
806365269856866089,eSIM,3939830700,2022-12-12
572154762232470879,nano,3333767112,2018-07-30
301478940122593612,eSIM,3405028672,2016-02-14
221169367135415768,eSIM,3386423478,2023-08-24
246772905169844862,micro,3283473560,2023-01-09
135176193469536704,eSIM,3928764737,2023-04-12
767840961031134351,eSIM,3661838258,2014-10-30
576710211082205957,micro,3806313913,2024-11-20
364089759067923689,standard,3706945683,2014-06-13
556852931352528341,eSIM,3498965323,2024-03-16
829368149677152141,standard,3498146819,2014-06-17
187801789783215382,micro,3404828210,2021-11-01
763945770071140042,micro,3498651090,2020-10-26
487443936942283310,micro,3470934732,2018-02-02
603564305202167128,nano,3920366201,2021-05-18
246334865319358476,standard,3893869696,2020-11-22
321452758301996062,eSIM,3350642176,2017-05-02
302217180040748333,micro,3494242520,2016-11-28
177687690355350515,eSIM,3473681378,2014-09-09
184687695272933124,eSIM,3910119774,2023-09-28
467017696100988846,nano,3806496988,2016-12-08
429521562584196369,micro,3482028979,2016-05-11
497669301999236789,nano,3704552754,2023-10-29
223189453553481657,micro,3356561551,2018-12-09
800023536697844982,eSIM,3354831034,2020-05-22
590917535746410341,micro,3914568496,2022-12-18
303579534387548108,micro,3382146713,2016-08-17
219086783892051063,micro,3354863102,2023-10-16
111082778634591011,nano,3495883576,2016-07-17
510640037962309091,nano,3921989350,2018-09-06
386318014079057507,nano,3282485048,2014-08-28
289298941384881914,nano,3202723866,2021-11-29
180281263888704764,micro,3409817043,2018-09-17
885498949188770268,eSIM,3330973687,2017-08-23
352508530651176419,standard,3475011097,2014-04-20
493951090072081593,eSIM,3931242669,2024-03-07
112368280700811724,nano,3489703059,2021-10-24
668948931801009031,micro,3661593950,2020-05-22
550870556648595434,standard,3704623621,2024-02-17
155573692416279883,micro,3802292430,2014-09-30
808606051255314388,nano,3491211534,2022-02-27
613340657485835702,nano,3491419106,2024-04-22
793842579752824373,micro,3937897192,2019-02-14
572510853819150789,eSIM,3709333841,2019-07-23
378653095487641108,standard,3488835493,2020-09-28
320461343938196579,nano,3802522744,2015-09-11
737914230116051329,standard,3486609341,2016-11-18
842143165038830421,eSIM,3381055982,2021-03-29
695598631123533720,nano,3807516277,2021-08-18
834326215941366603,micro,3350571070,2023-08-31
897824088522322995,eSIM,3280356389,2016-11-18
126123916368397360,micro,3805863220,2019-06-07
553558509297725974,standard,3930701159,2013-04-03
122298929014476388,nano,3916869277,2016-02-27
349463060662486212,standard,3471331925,2019-11-07
495401648226485286,standard,3335768684,2020-05-17
338115704369585989,micro,3928097979,2019-02-15
830746476793543688,eSIM,3938364929,2013-06-14
749551008449943105,micro,3450854029,2021-12-24
486579184934958797,nano,3384947179,2019-10-18
510882414346042143,standard,3605584483,2020-04-28
102423360199111970,eSIM,3281201514,2018-03-26
249615194483472129,standard,3700480635,2024-12-27
621542389406408068,eSIM,3895569038,2022-08-30
885678052367007158,nano,3492146185,2021-04-28
156610385259233303,nano,3899873260,2018-10-07
551434335198729829,micro,3457256892,2022-12-25
501483126829536976,micro,3289823614,2022-03-27
376334625866269501,standard,3289894806,2020-11-07
578451298772224551,nano,3352874190,2022-04-02
275478160775172887,standard,3705559757,2021-08-19
557004434168957344,standard,3917243381,2015-05-23
152084501941868357,standard,3932539864,2022-12-01
446722911285321988,standard,3800759736,2018-08-17
426556985735719200,micro,3608539080,2016-12-21
885789064110847236,nano,3706392332,2015-01-01
403272188327452515,micro,3201261142,2015-02-03
265713482922542314,eSIM,3603119899,2023-11-29
405933442200933801,nano,3380801163,2020-10-01
538105033215066626,standard,3702850385,2014-10-16
367399104664881802,micro,3898369550,2023-10-22
172633993203618043,standard,3202309245,2023-08-08
414954342232662444,eSIM,3356398244,2022-04-29
846904442697596664,nano,3339835794,2014-03-25
220771448279130568,eSIM,3453681568,2022-05-29
833724294211280218,nano,3481123303,2021-02-21
191655918183984319,standard,3485001960,2016-07-26
155517172371486533,micro,3283174162,2013-11-11
736731648436233054,micro,3474239972,2024-02-02
465761933096994427,eSIM,3703272951,2024-11-23
645451107027005856,nano,3898998470,2018-03-23
371888964605469933,nano,3491870532,2020-02-28
363180507802066860,eSIM,3484651743,2021-06-27
328145898783533428,eSIM,3403095492,2022-01-28
428469612701308408,eSIM,3609059303,2021-09-28
662567330738486352,micro,3357039453,2017-11-21
605289646178452047,micro,3454516505,2021-04-15
377602980304606167,micro,3452362309,2014-01-23
463682424155905325,micro,3660255595,2019-02-06
791724837235642232,standard,3456543601,2018-07-08
582299632065514139,eSIM,3204892814,2020-05-20
279806067332061032,standard,3925622225,2021-12-01
418300008146666227,micro,3936257029,2016-06-14
848066452477306115,nano,3706521649,2020-12-04
816270728665711127,eSIM,3453802747,2020-12-21
483224008392762615,standard,3917332167,2016-05-16
483323677144094588,nano,3806689891,2017-10-08
161563466823621527,nano,3356932273,2016-11-24
370298871592615122,standard,3802311568,2017-12-03
284528451735028524,micro,3600419433,2024-02-22
884262982362625974,eSIM,3200278689,2023-09-24
840261426635494622,nano,3452215958,2022-01-19
764477324176394679,standard,3604706077,2013-09-06
302416170041521597,nano,3477488483,2022-04-16
478968332565600631,micro,3332738462,2014-05-26
328327372666315492,nano,3339468541,2019-05-09
462297465039332398,nano,3918713897,2024-10-11
474374544552298959,eSIM,3357398437,2020-04-14
769135912836619185,standard,3352612041,2024-08-10
773000153763956126,micro,3386450868,2024-05-18
302388210079973395,nano,3472478228,2019-09-09
736677750632747073,micro,3893409420,2018-12-18
